*Node
      1,           1.,           1.,           1.
      2,           1.,          0.5,           1.
      3,           1.,           0.,           1.
      4,           1.,           1.,          0.5
      5,           1.,          0.45,          0.55
      6,           1.,           0.,          0.5
      7,           1.,           1.,           0.
      8,           1.,          0.5,           0.
      9,           1.,           0.,           0.
     10,          0.5,           1.,           1.
     11,          0.55,          0.45,           1.
     12,          0.5,           0.,           1.
     13,          0.45,           1.,          0.55
     14,          0.5,          0.5,          0.5
     15,          0.5,           0.,          0.5
     16,          0.5,           1.,           0.
     17,          0.5,          0.5,           0.
     18,          0.5,           0.,           0.
     19,           0.,           1.,           1.
     20,           0.,          0.5,           1.
     21,           0.,           0.,           1.
     22,           0.,           1.,          0.5
     23,           0.,          0.5,          0.5
     24,           0.,           0.,          0.5
     25,           0.,           1.,           0.
     26,           0.,          0.5,           0.
     27,           0.,           0.,           0.
28,	1,	0.5,	0.5
29,	0.5,	1,	0.5
30,	0.5,	0.5,	1
31,	1,	0,	0.5
32,	1,	1,	0.5
33,	0,	1,	0.5
34,	1,	0.5,	0
35,	1,	0.5,	1
36,	0,	0.5,	1
37,	0.5,	1,	0
38,	0.5,	1,	1
39,	0.5,	0,	1
